8.78	0.18	2	Dcvv	Evcv	DcvvEvcv	7	7	2	2	1.74	4.49	8.97	0	1	0	0	0	0.25	2.76	0.25	2.76	0	1.03	0												
8.78	0.71	7	Bvcv	Ccvv	BvcvCcvv	7	8	2	1	1.75	2.35	9.49	0	0	176.1	0	0	0.25	10.63	0.25	10	0.125	9.63	0	3.61	0										
8.93	0.69	1	Bccc	Eccc	B2cccEccc	7	8	2	1	3.95	4.36	9.62	0	0	-175.4	0	0	0	3.14	0.25	10.38	0.25	9.62	0.125	9.86	0										
8.97	0.23	3	Cvvv	Dvvv	CDvvv	7	7	2	2	4.53	7.98	9.20	0	0	-171.5	0	0	0	1.67	0.25	3.49	0.25	1.75	0												
9.02	0.08	2	Ecvv	Gggg	Ecvv	7	7	2	2	5.31	6.51	9.10	0	0	0	0	0	0	0	0.125	0.52	0.25	0.76	0.25	1.19	0										
9.02	0.30	5	Cccv	Gggg	Cccv	7	7	2	2	5.35	9.88	9.33	0	0	0	0	0	0.125	0.125	0.25	3.85	0.25	4.55	0	0.85	0										
9.10	0.78	8	Eccc	Gggg	E11ccc	7	8	2	1	6.56	8.25	9.88	0	0	174.3	1	0	0.25	8.93	0.25	11.66	0	2.64	0												
9.18	0.19	2	Cvvv	Gggg	Cvvv	7	8	2	1	7.76	0.60	9.37	0	0	0	0	0	0.25	2.85	0	1.29	0	0.25	0.125												
9.25	0.14	4	Accc	Fccc	AcccFccc	7	8	2	1	8.82	0.98	9.40	0	0	0	0	0	0	0.4	0.125	0.52	0.25	2.17	0.25	1.42	0.125	1.92	0								
9.28	0.45	3	Eccc	Gggg	E7ccc	7	8	2	1	9.15	5.86	9.72	0	0	176	0	0	0.25	3.19	0.25	6.85	0.25	3.19	0												
9.28	0.44	6	Cvvv	Dvvv	CDvvv	7	8	2	1	9.26	5.85	9.72	0	1	0	0	0	0.25	6.6	0.25	6.6	0	0.125	0	0.125	0.125										
9.35	0.51	5	Bccc	Gggg	B5ccc	8	8	1	1	0.26	7.85	9.86	1	0	155.9	1	0	0	0	0.25	7.05	0.25	7.58	0												
9.37	0.06	2	Avcc	Gggg	Avcc	8	8	1	1	0.59	1.42	9.43	0	1	0	0	0	0.25	0.84	0.25	0.84	0.0	0	0	0.49	0.125										
9.42	0.18	4	Avcc	Gggg	Avcc	8	8	1	1	1.29	4.02	9.60	0	1	0	0	0	0.25	2.71	0.25	2.71	0														
9.43	0.45	2	Eccv	Bcvc	EccvBcvc	8	8	1	1	1.5	8.26	9.88	0	0	-4.24	0	0	0.25	3.37	0.25	6.74	0	3.37	0												
9.51	0.48	7	Fccc	Gggg	F7ccc	8	8	1	1	2.60	9.84	9.99	0	0	175.9	0	0	0.25	3.53	0.25	7.25	0.0	3.53	0												
9.59	0.43	4	Eccv	Bcvc	EccvBcvc	8	8	1	2	3.84	0.25	10.02	0	0	-175.8	0	0	0	3.37	0.25	6.40	0.25	3.37	0												
9.65	0.12	1	Bvcv	Ccvv	BvcvCcvv	8	8	1	1	4.73	6.48	9.77	0	1	0	0	0	0.25	1.75	0.25	1.75	0	0.75	0												
9.71	0.23	3	Acvv	Fccv	AcvvFccv	8	8	1	1	5.58	8.98	9.93	0	0	-174.7	0	0	0.25	3.44	0.25	0.63	0														
9.76	0.84	6	Bvcv	Ccvv	BvcvCcvv	8	8	1	2	6.34	8.98	10.60	0	1	0	0	0	0.25	12.63	0.25	12.63	0	3.89	0												
9.78	0.07	1	Avvc	Gggg	Avvc	8	8	1	1	6.64	7.63	9.84	0	0	0	0	0	0	0	0.125	0.1	0.2	0.25	0.125	0.98	0										
9.83	0.31	3	Dcvc	Acvv	DcvcAcvv	8	8	1	2	7.5	2.11	10.14	0	0	158.2	1	0	0	3.23	0.25	3.95	0.25	4.6	0												
9.88	0.07	1	Accv	Cccc	AccvCccc	8	8	1	1	8.23	9.21	9.95	0	1	0	0	0	0.25	1	0.25	1	0	0.125	0	0.72	0.125										
9.91	0.03	2	Bccc	Fccc	B1cccF1ccc	8	8	1	1	8.61	9.04	9.94	0	1	0	0	0	0.25	0.42	0.25	0.42	0														
9.93	0.63	8	Cvcv	Gggg	Cvcv	8	8	1	2	8.96	8.44	10.56	1	0	0	0	0	0	0	0.25	9.47	0.25	6.13	0												
